City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,vavoua,7.3819,-6.4778,21.79,99,98,2.21,CI,1694912962
113,hobyo,5.3505,48.5268,24.64,85,36,9.59,SO,1694912963
114,arar,30.9753,41.0381,25.89,23,0,3.44,SA,1694912963
115,avarua,-21.2078,-159.775,26.03,65,100,1.54,CK,1694912974
116,albany,42.6001,-73.9662,17.47,69,32,3.53,US,1694912974
117,shache,38.4167,77.2406,16.51,33,87,2.4,CN,1694912975
118,anadyr,64.75,177.4833,5.28,93,75,3.0,RU,1694912976
119,shillong,25.5689,91.8831,19.73,91,1,0.65,IN,1694912978
120,labytnangi,66.6572,66.4183,6.89,92,93,3.33,RU,1694912980
121,bubaque,11.2833,-15.8333,27.03,77,100,3.27,GW,1694912980
122,kavieng,-2.5744,150.7967,28.1,72,82,7.64,PG,1694912981
123,crane,31.3974,-102.3501,27.64,45,5,5.34,US,1694912981
124,egilsstadir,65.2653,-14.3948,9.07,97,100,2.16,IS,1694912982
125,keflavik,64.0049,-22.5624,8.24,87,100,10.29,IS,1694912983
126,sikonge,-5.6333,32.7667,21.49,41,38,2.44,TZ,1694912983
127,georgetown,5.4112,100.3354,28.3,89,20,2.06,MY,1694912753
128,abdurahmoni jomi,37.9464,68.8088,17.16,67,0,0.0,TJ,1694912985
129,vorgashor,67.5833,63.95,6.96,85,100,2.34,RU,1694912876
130,castillos,-34.1667,-53.8333,12.98,81,3,2.11,UY,1694912986
131,tocopilla,-22.092,-70.1979,18.36,63,38,0.15,CL,1694912986
132,gamboula,4.1178,15.1393,20.84,98,100,1.01,CF,1694912987
133,raja,8.4596,25.678,21.11,96,100,0.37,SS,1694912987
134,nikolayevsk-on-amure,53.1406,140.73,16.76,49,38,2.45,RU,1694912724
135,dryden,49.7833,-92.7503,11.45,78,61,2.24,CA,1694912988
136,russas,-4.9403,-37.9758,26.42,60,3,4.37,BR,1694912989
137,cockburn town,21.4612,-71.1419,28.98,65,40,4.12,TC,1694912696
138,barakani,-12.1356,44.4317,24.16,76,100,3.66,KM,1694912990
139,kewanee,41.2456,-89.9248,16.93,80,100,2.35,US,1694912991
140,thunder bay,48.4001,-89.3168,12.69,90,78,2.65,CA,1694912949
141,hami,42.8,93.45,17.46,28,6,5.38,CN,1694912992
142,la punta,-33.1837,-66.3127,15.27,40,0,8.73,AR,1694912992
143,nizhnesortymskiy,62.4397,71.7603,11.98,75,70,2.86,RU,1694912993
144,enewetak,11.3474,162.3373,29.24,77,86,7.01,MH,1694912747
145,cide,41.8921,33.0044,18.72,74,0,4.99,TR,1694912994
146,aldan,58.6031,125.3894,3.97,56,17,1.33,RU,1694912787
147,ilulissat,69.2167,-51.1,1.01,86,100,0.0,GL,1694912879
148,bani walid,31.7566,13.9942,22.92,57,39,2.28,LY,1694912995
149,cao bang,22.6667,106.25,25.9,91,78,0.08,VN,1694912996
150,cafayate,-26.073,-65.9761,23.85,15,0,1.61,AR,1694912996
151,luziania,-16.2525,-47.9503,24.83,71,100,0.41,BR,1694912755
152,obo,5.3998,26.4869,20.12,98,100,1.5,CF,1694912998
153,turpan,42.9333,89.1667,22.8,27,0,1.08,CN,1694912998
154,howrah,22.5892,88.3103,29.0,94,20,0.0,IN,1694912920
155,nilsia,63.2,28.0833,13.4,95,100,4.69,FI,1694912999
156,opuwo,-18.0607,13.84,20.29,20,0,1.95,NA,1694913000
157,bilibino,68.0546,166.4372,5.27,68,100,0.57,RU,1694913000
158,portmore,17.9702,-76.8672,28.34,98,100,1.19,JM,1694913001
159,fort st. john,56.2499,-120.8529,19.94,24,75,1.54,CA,1694912793
160,san patricio,28.017,-97.5169,28.92,60,40,4.65,US,1694913002
161,ceerigaabo,10.6162,47.368,18.68,67,88,4.75,SO,1694913003
162,zaozersk,69.4005,32.4476,6.49,84,100,2.51,RU,1694913003
163,meiganga,6.5167,14.3,18.95,98,100,1.58,CM,1694913004
164,celestun,20.8667,-90.4,28.73,76,19,6.94,MX,1694913004
165,arvin,35.2091,-118.8284,32.81,25,2,4.31,US,1694913005
166,greenville,35.6127,-77.3663,20.63,88,0,0.45,US,1694912945
167,isafjordur,66.0755,-23.124,8.83,94,93,4.08,IS,1694913006
168,san pedro pochutla,15.7333,-96.4667,27.06,87,9,1.48,MX,1694913007
169,avsallar,36.616,31.7806,25.76,32,0,3.56,TR,1694913007
170,chonchi,-42.6128,-73.8092,5.56,90,71,3.73,CL,1694913008
171,twon-brass,4.3151,6.2418,26.08,85,98,5.91,NG,1694913008
172,fredericton,45.9454,-66.6656,18.24,100,100,7.2,CA,1694913009
173,machico,32.7,-16.7667,21.35,69,20,6.17,PT,1694913010
174,hamilton,39.1834,-84.5333,21.47,62,20,3.09,US,1694913010
175,afaahiti,-17.75,-149.2833,26.93,83,81,5.68,PF,1694913011
176,leava,-14.3,-178.1667,27.5,80,100,8.13,WF,1694913011
177,nowy dwor mazowiecki,52.4302,20.7165,16.25,87,0,3.09,PL,1694913012
178,morales,2.757,-76.6172,16.6,85,100,0.7,CO,1694913013
179,lata,40.1629,-8.3327,16.71,93,0,2.53,PT,1694913014
180,santa cruz,-17.8,-63.1667,26.7,61,0,6.69,BO,1694913015
181,san pedro,14.35,121.0167,30.15,76,95,3.58,PH,1694913016
182,gongchangling,41.1167,123.45,23.65,63,0,0.62,CN,1694912729
183,puerto maldonado,-12.6,-69.1833,26.41,69,100,1.07,PE,1694913017
184,hadibu,12.65,54.0333,25.73,82,100,6.45,YE,1694912790
185,lenino,45.2986,35.7771,16.14,67,0,3.86,UA,1694913018
186,yuzhno-kurilsk,44.0306,145.8556,18.52,83,92,2.85,RU,1694913019
187,callao,-12.0667,-77.15,21.51,68,0,4.12,PE,1694913019
188,port mathurin,-19.6833,63.4167,22.97,73,2,8.93,MU,1694913020
189,arraial do cabo,-22.9661,-42.0278,21.22,92,0,10.01,BR,1694912965
190,plettenberg bay,-34.0527,23.3716,11.68,67,100,8.12,ZA,1694913021
191,uige,-7.6087,15.0613,20.74,95,56,1.37,AO,1694913021
192,bodaybo,57.8506,114.1933,11.71,73,12,0.62,RU,1694912909
193,san fernando,15.0286,120.6898,28.89,78,100,0.98,PH,1694913022
194,wailua homesteads,22.0669,-159.378,29.24,73,40,6.69,US,1694912765
195,paita,-5.0892,-81.1144,20.65,83,64,6.9,PE,1694913023
196,agat village,13.3886,144.6585,30.76,87,40,4.12,GU,1694913024
197,pisco,-13.7,-76.2167,19.03,77,0,4.12,PE,1694913025
198,pop,40.8736,71.1089,18.27,40,24,0.8,UZ,1694913025
199,bechar,31.6167,-2.2167,28.26,31,15,2.16,DZ,1694913026
200,ciudad lazaro cardenas,17.9583,-102.2,28.11,77,17,1.8,MX,1694912981
201,puerto deseado,-47.7503,-65.8938,4.23,67,7,5.4,AR,1694913027
202,pitimbu,-7.4706,-34.8086,24.33,85,87,4.46,BR,1694913027
203,polyarnyy,69.1989,33.4478,6.86,81,57,2.23,RU,1694913028
204,nuuk,64.1835,-51.7216,1.34,86,20,2.68,GL,1694913003
205,tazovsky,67.4667,78.7,3.19,78,100,3.18,RU,1694913029
206,motygino,58.1831,94.7592,10.62,72,44,0.25,RU,1694913030
207,taghazout,30.5426,-9.7112,20.43,86,4,2.67,MA,1694913030
208,la passe,45.5549,-0.8967,21.13,88,100,4.39,FR,1694913031
209,port lincoln,-34.7333,135.8667,18.92,60,6,2.9,AU,1694912986
